region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Minjur,2020-10-27,2020-11-26,-0.05325819134992926,0.6185271995043371,0.07624328863906625,0.38345015489467166,0.06894960994043031,0.37696434324659234,0.06284061427718853,754.7993688949717,5.709316080892855e-05,0.11278867275373824,0.014742314210990969,5.597721437764143e-05,1.2708635636034433e-06
Minjur,2020-11-26,2020-12-26,-0.5307121013543288,0.5858561338289963,0.07598402975479644,0.3443726559273028,0.04046994576740423,0.3294535729037588,0.042077441831831014,754.7993688949717,5.709316080892855e-05,0.10914649681528663,0.0175298851964295,4.9782637624161775e-05,1.438557843868716e-06
Minjur,2020-12-26,2021-01-25,0.36027385633156683,0.5802149318463445,0.06004266972328955,0.31830442998760844,0.04458179937976447,0.3081941140024783,0.04356821832985033,754.7993688949717,5.709316080892855e-05,0.11687790980704552,0.007682418315858849,5.9240188150092886e-05,1.5507973944490716e-06
Minjur,2021-01-25,2021-02-24,0.3833585854949071,0.5146656133828997,0.06985979758315493,0.3153383209417596,0.04780780522293861,0.3005211276332095,0.048633678129846314,754.7993688949717,5.709316080892855e-05,0.12683353985956217,0.00459724970619532,7.119641309984417e-05,5.163569381508694e-06
Minjur,2021-02-24,2021-03-26,0.31395301945757126,0.4595397769516729,0.04806910999735176,0.27697574349442383,0.032647693107390914,0.25908478934324664,0.031827049564550715,754.7993688949717,5.709316080892855e-05,0.13208199091284595,0.003061632530202981,0.00013813469353798072,3.5216778107297327e-06
Minjur,2021-03-26,2021-04-25,0.7931871097062526,0.47021852540272624,0.046560116969221015,0.3064517038413879,0.03545890984096066,0.2849581474597274,0.034250148266101774,754.7993688949717,5.709316080892855e-05,0.1321824109389165,0.0036845487580912323,0.00011751159831841708,2.260831151272989e-06
Minjur,2021-04-25,2021-05-25,1.9060751731885333,0.47750190004130527,0.055024131069922065,0.34868525402726147,0.032810821121070456,0.3206853779429988,0.03241645137032216,754.7993688949717,5.709316080892855e-05,0.14200860288566994,0.004051509060792029,9.486335343510715e-05,1.1393720505298901e-06
Minjur,2021-05-25,2021-06-24,0.29758322411535687,0.4783048017348203,0.03650983172379701,0.3231374225526642,0.022908376436088323,0.3027052664188352,0.024557007774958832,754.7993688949717,5.709316080892855e-05,0.14921550710154213,0.005979557875228346,9.162604418543571e-05,1.560864750418731e-06
Minjur,2021-06-24,2021-07-24,0.0619921363040703,0.551108581164808,0.0686315715774273,0.4077755885997522,0.07049041158200177,0.38672772614622053,0.06586510006255221,754.7993688949717,5.709316080892855e-05,0.14020056818181817,0.012817948028708214,8.680340214960104e-05,8.261655698773459e-07
Minjur,2021-07-24,2021-08-23,-2.4672608125819124,0.6386392503097894,0.058758951113318976,0.45292022924411407,0.058741549924223514,0.4428052973977695,0.05548517820102961,754.7993688949717,5.709316080892855e-05,0.1373541788143829,0.007577434083423482,7.16627344719488e-05,2.8724099708620493e-06
